Spis treści;;;;;;;;;;;;;;
;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów;;;;;;;;;;;;;
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Lipiec 2019;;Czerwiec 2019;;Lipiec 2018;;Lipiec 2019 / Czerwiec 2019;;Lipiec 2019 / Lipiec 2018;
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Hospitalizacje;Wartość;Hospitalizacje;Wartość;Hospitalizacje;Wartość;Zmiana liczby hospitalizacji;Zmiana wartości;Zmiana liczby hospitalizacji;Zmiana wartości
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;;;1;2295.28;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;2;8844.16;3;12879.36;;;-0.333333;-0.313307;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;25;137371.32;22;113464.4;18;83126.72;0.136364;0.2107;0.388889;0.652553
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;11;43002.96;11;27626.56;4;13193;0;0.55658;1.75;2.259529
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;H Choroby układu mięśniowo-szkieletowego;2;8103.68;2;7868.64;;;0;2.9870473169442101E-2;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;1;2384.72;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;259;715679.84;350;936958.4;273;706220;-0.26;-0.236167;-5.1282051282051301E-2;1.33950327093539E-2
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;59;466329.7448;58;415302.3056;48;495677.8;1.72413793103448E-2;0.122868;0.229167;-5.9207927407682999E-2
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;1;4682.38;1;2273.21;;;0;1.05981;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;;;2;4612.34;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;15;106358.315;11;56325.1792;7;33042;0.363636;0.888291;1.142857;2.218882
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;1;5960.61;;;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;1;5568.18;;;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;N Położnictwo i opieka nad noworodkami;1;5013;;;;;;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;109;322026.41;121;337230.24;86;235059;-9.9173553719008295E-2;-4.5084420661682098E-2;0.267442;0.369981
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;23;150432.53;35;214177.2009;23;116489.51;-0.342857;-0.297626;0;0.291383
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;17;83375;7;30898;24;95772;1.428571;1.698395;-0.291667;-0.129443
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;7;62271.2;2;3570;4;7302;2.5;16.442913;0.75;7.527965
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;35;159935;22;104688.53;20;105283.52;0.590909;0.527722;0.75;0.519089
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;76;224797.984;61;186907.088;57;207176.16;0.245902;0.202726;0.333333;8.5057199631463298E-2
