data;kat;woj;hospitalizacje;mcpop;mcpopr
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;1040;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;1018;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubelskie;1058;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Lubuskie;349;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Mazowieckie;2286;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Małopolskie;1473;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Opolskie;374;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;PL;15950;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Podkarpackie;967;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Podlaskie;539;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Pomorskie;1219;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Warmińsko-mazurskie;636;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Wielkopolskie;1298;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Zachodniopomorskie;667;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Łódzkie;934;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Śląskie;1548;NA
2018-01;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Świętokrzyskie;544;NA
2018-01;C00-D48 Nowotwory;Dolnośląskie;4904;NA
2018-01;C00-D48 Nowotwory;Kujawsko-pomorskie;3143;NA
2018-01;C00-D48 Nowotwory;Lubelskie;3102;NA
2018-01;C00-D48 Nowotwory;Lubuskie;1269;NA
2018-01;C00-D48 Nowotwory;Mazowieckie;9412;NA
2018-01;C00-D48 Nowotwory;Małopolskie;4565;NA
2018-01;C00-D48 Nowotwory;Opolskie;1081;NA
2018-01;C00-D48 Nowotwory;PL;58648;NA
2018-01;C00-D48 Nowotwory;Podkarpackie;2569;NA
2018-01;C00-D48 Nowotwory;Podlaskie;1424;NA
2018-01;C00-D48 Nowotwory;Pomorskie;3397;NA
2018-01;C00-D48 Nowotwory;Warmińsko-mazurskie;2078;NA
2018-01;C00-D48 Nowotwory;Wielkopolskie;5855;NA
2018-01;C00-D48 Nowotwory;Zachodniopomorskie;2615;NA
2018-01;C00-D48 Nowotwory;Łódzkie;4205;NA
2018-01;C00-D48 Nowotwory;Śląskie;6906;NA
2018-01;C00-D48 Nowotwory;Świętokrzyskie;2123;NA
2018-01;D50-D89 Choroby krwi i narządów krwiotwórczych oraz wybrane choroby przebiegające z udziałem mechanizmów immunologicznych;Dolnośląskie;433;NA
