Spis treści;;;;;;;;;;;;;;
;Tabela 1: Liczba hospitalizacji i liczba punktów za hospitalizacje wg rozpoznań i sekcji produktów;;;;;;;;;;;;;
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Kwiecień 2021;;Marzec 2021;;Kwiecień 2020;;Kwiecień 2021 / Marzec 2021;;Kwiecień 2021 / Kwiecień 2020;
;Rozdział ICD10;Województwo;Poziom szpitala w ramach ryczałtu PSZ;Sekcja JGP;Hospitalizacje;Wartość;Hospitalizacje;Wartość;Hospitalizacje;Wartość;Zmiana liczby hospitalizacji;Zmiana wartości;Zmiana liczby hospitalizacji;Zmiana wartości
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;A Choroby układu nerwowego;< 5;4636.92;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;;;< 5;2620.08;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;5;29694.1;18;95352.172;5;31554.05;-0.722222;-0.688585;0;-5.8944889800200101E-2
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;5902.74;< 5;7970.06;< 5;3527.75; ;-0.259386; ;0.673231
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;< 5;2409.24;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;155;459386.64;179;529370.64;62;176853.02;-0.134078;-0.132202;1.5;1.597562
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL I STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;15;103075.16;48;424705.2088;33;225020.81;-0.6875;-0.757302;-0.545455;-0.541931
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;A Choroby układu nerwowego;;;;;< 5;9273.84;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;D Choroby układu oddechowego;;;;;< 5;1927.8;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;F Choroby przewodu pokarmowego;26;197335.838;8;51454.854;5;28385.58;2.25;2.835126;4.2;5.951975
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;< 5;7571.162;< 5;13077.1;< 5;5902.74; ;-0.421037; ;0.282652
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;L Choroby układu moczowo-płciowego;;;;;< 5;1505.52;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;P Choroby dzieci - leczenie zachowawcze;50;154053.1008;67;206510.6664;23;63632.7;-0.253731;-0.254019;1.173913;1.420974
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL II STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;16;98176.04;23;204138.7314;10;56572.24;-0.304348;-0.519072;0.6;0.73541
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;A Choroby układu nerwowego;< 5;38308.24;< 5;4546;;; ;7.426802; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;D Choroby układu oddechowego;< 5;3678;;;< 5;1839; ;; ;1
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;F Choroby przewodu pokarmowego;< 5;6127;7;39388;< 5;25502; ;-0.844445; ;-0.759744
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;12;19678.143;20;30409;;;-0.4;-0.352884;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;J Choroby piersi, skóry i oparzenia;< 5;2283;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;L Choroby układu moczowo-płciowego;;;< 5;1950;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;P Choroby dzieci - leczenie zachowawcze;127;393716.2032;145;467158.806;14;42796;-0.124138;-0.157211;8.071429;8.199837
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL III STOPNIA;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;26;250323.65;20;156006.55;19;155530.6;0.3;0.604571;0.368421;0.609482
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;E Choroby układu krążenia;;;< 5;196422.29;;; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;F Choroby przewodu pokarmowego;19;194634.69;15;94561;13;155758.39;0.266667;1.058298;0.461538;0.249594
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;< 5;3425;< 5;9212; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;J Choroby piersi, skóry i oparzenia;;;< 5;8111;< 5;4568; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;L Choroby układu moczowo-płciowego;;;;;< 5;1848;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;P Choroby dzieci - leczenie zachowawcze;17;51774.12;18;48425.04;;;-5.5555555555555601E-2;6.9160087425843994E-2;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL OGÓLNOPOLSKI;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;27;175927.2156;29;300663.74;29;332002.9;-6.8965517241379296E-2;-0.414871;-6.8965517241379296E-2;-0.470103
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL PULMONOLOGICZNY;D Choroby układu oddechowego;< 5;4724;5;29763.62;< 5;20366.62; ;-0.841283; ;-0.768052
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL PULMONOLOGICZNY;F Choroby przewodu pokarmowego;< 5;7246;< 5;17480.25;< 5;6127; ;-0.585475; ;0.182634
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Dolnośląskie;SZPITAL PULMONOLOGICZNY;S Choroby układu krwiotwórczego, zatrucia i choroby zakaźne;;;< 5;8451;8;70823; ;;;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;POZA PSZ;L Choroby układu moczowo-płciowego;< 5;702;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;D Choroby układu oddechowego;< 5;1875.78;;;;; ;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;F Choroby przewodu pokarmowego;11;61463.28;10;46561.572;11;64923.99;0.1;0.320043;0;-5.3304025214716597E-2
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;G Choroby wątroby, dróg żółciowych, trzustki i śledziony;;;;;< 5;3527.75;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;J Choroby piersi, skóry i oparzenia;;;;;< 5;2432.86;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;N Położnictwo i opieka nad noworodkami;;;;;< 5;4595;;; ;
;A00-B99 Wybrane choroby zakaźne i pasożytnicze;Kujawsko-pomorskie;SZPITAL I STOPNIA;P Choroby dzieci - leczenie zachowawcze;53;149718.9096;62;192388.3218;27;76594.92;-0.145161;-0.221788;0.962963;0.954685
